species,id,number,fl,tl,wt,direction,us_clip,ds_clip,date,month,day,year,season,type,notes
pumpkinseed,,1,114,120,28.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,95,99,15.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,bulk,,,42.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,83,89,8.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,49,52,2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,72,75,6,upstream,,,2024-04-24,april,24,2024,spring,fyke,
creek chub,,1,160,180,48.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,approximate FL and TL
pearl dace,FN-M24-PD-1,1,102,110,11.4,upstream,1,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,FN-M24-PD-2,1,93,96,7.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,FN-M24-PD-3,1,98,103,10.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,FN-M24-PD-4,1,95,99,8.3,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,FN-M24-PD-5,1,93,98,6.7,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,bulk,,,48.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,1,95,102,10,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,1,69,74,3.3,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,1,95,100,7.3,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,1,75,80,5.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
pearl dace,,1,93,,8.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
white sucker,,1,160,175,47,upstream,,,2024-04-24,april,24,2024,spring,fyke,TL approximate
white sucker,,bulk,,,239.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
white sucker,,bulk,,,127.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
white sucker,,1,160,170,45.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,TL approximate
white sucker,,1,84,87,5.7,upstream,,,2024-04-24,april,24,2024,spring,fyke,
brown bullhead,,bulk,,,257.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,136,147,32.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,140,150,27.8,upstream,1,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,125,135,24.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,142,152,39.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,132,143,26.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,248.1,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,320.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,108.5,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,52.4,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,98,108,9.7,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,380,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,234.7,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,50.7,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,105,115,10.9,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,97,107,8.7,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,121,131,17.9,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,71,79,3.3,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,1,124,137,18.1,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,192.5,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,167.2,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,236,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,155,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,193.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,111.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,28.4,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,158,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,268.4,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,136.2,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,231,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,287,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,146.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,77,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,325.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,265.4,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,144.5,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,65,upstream,,,2025-04-24,april,25,2024,spring,fyke,
common shiner,,1,78,86,3,upstream,,,2025-04-24,april,25,2024,spring,fyke,
pearl dace,,1,85,92,4.6,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,233.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
golden shiner,,bulk,,,226.8,upstream,,,2025-04-24,april,25,2024,spring,fyke,
